,LICENSENO,BUSINESSNAME,DBANAME,COMMENTS,LOCATIONCOMMENTS,ISSDTTM,EXPDTTM,LICSTATUS,LICCAT,LICCATDESC,OPENING,CLOSING,PATRONSOUT,CAPACITY,PRIMAPPLICANT,PHONE,STNO,STNOHI,Address,CITY,STATE,ZIP,Location,Lat,Long
152,LB-101629,LONGWOOD HOTEL CORP.,LONGWOOD HOTEL,11:00 A.M. OPENING ON SUNDAYS FOR THE SALE OF ALCOHOLIC BEVERAGES WITH BRUNCH.,IN WHOLE OF SAID BUILDING.  (SEE ISD CERTIFICATE FOR MORE COMPLETE DESCRIPTION OF CAPACITY.),11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,INNAL,Inn. All Alc.,,2:00 AM,,0,LONGWOOD HOTEL CORP.,,342.0,,  Longwood AV,Boston,MA,2115,"['42.338216', '-71.106561']",42.338216,-71.106561
153,LB-135168,"BIG TIME BOSTON FOOD, INC.",Estragon,NONE,In one room on first floor with kitchen & storage & office in rear; main entrance on Harrison Ave. & emergency exit to alley in rear & to include an outdoor seasonal patio from April through October for 10 patrons on private property between the hours of 10:00 a.m. - 11:00 p.m.,07/29/2015 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7ALN,CV7ALN - Neighborhood Restricted,,1:00 a.m.,,108,"BIG TIME BOSTON FOOD, INC.",,700.0,,  Harrison AV,Boston,MA,2118,"['42.338319', '-71.070696']",42.338319,-71.070696
154,LB-99769,BERTUCCI'S RESTAURANT CORP.,BERTUCCI'S BRICK OVEN RISTORANTE,NONE,IN ONE ROOM ON THE FIRST FLOOR; KITCHEN AND STORAGE IN THE REAR  WITH ONE SERVICE BAR WITH TWELVE SEATS.  ONE BLACKFAN CIRCLE  BOSTON  MA  02115,11/15/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7MWL,CV7 Malt Wine Liq.,,MIDNIGHT,12:30 AM,178,BERTUCCI'S RESTAURANT CORP.,,1.0,,  Blackfan CI,Boston,MA,2115,"['42.338384', '-71.104894']",42.338384,-71.104894
155,LB-99209,"NOSMADA, INC.",SHENANAGANS,Alcohol to be served with food only. ALCOHOLIC BEVERAGES TO BE SERVED IN CONJUNCTION WITH BRUNCH ON SUNDAYS 10:00 A.M.,In two rooms with kitchen in rear  storage in basement.,11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,,1:00 AM,1:30 AM,232,"NOSMADA, INC.",,332.0,,W Broadway ,South Boston,MA,2127,"['42.338415', '-71.049876']",42.338415,-71.049876
156,LB-99820,SIRAJ CORPORATION,EL CENTRO,NONE,FIRST FLOOR  TABLE SERVICE IN FRONT  SERVICE BAR & KITCHEN IN REAR.  ENTRY IN FRONT WITH 2ND EGRESS IN REAR.  BASEMENT FOR STORAGE AND OFFICE. AND TO INCLUDE AN OUTDOOR SEASONAL PATIO ON PUBLIC SIDEWALK FOR 12 PATRONS BETWEEN THE HOURS OF 10:00 A.M. - 10:00 P.M.,11/27/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7MWL,CV7 Malt Wine Liq.,,11:00 PM,11:30 PM,45,SIRAJ CORPORATION,,474.0,,  Shawmut AV,Roxbury,MA,2118,"['42.338556', '-71.075908']",42.338556,-71.075908
157,LB-99540,"THE ISABELLA STEWART GARDNER MUSEUM, INCORPORATED",THE GARDNER MUSEUM,CAPACITY BREAKDOWN: CAFE 101: 62 PERSONS LIVING ROOM 102: 20 PERSONS STUDIO/CLASSROOM: 36 PERSONS MUSEUM EXPANSION 2ND FLOOR: 154 PERSONS(CALDERWOOD HALL) MUSEUM EXPANSION 2ND FLOOR: 91 PERSONS (SPECIAL EXHIBITION ROOM 202A) MUSEUM EXPANSION 3RD FLOOR: 60 PERSONS (CALDERWOOD HALL 1ST BALCONY) MUSEUM EXPANSION 4TH FLOOR: 60 PERSONS (CALDERWOOD HALL 2ND BALCONY) MUSEUM EXPANSION 5TH FLOOR: 60 PERSONS (CALDERWOOD HALL 3RD BALCONY). TOTAL CAPACITY:1 293 HISTORICAL BUILDING: 750 NEW WING: 543,ENTIRE FIRST FLOOR AND MONKS GARDEN FOR FUNCTIONS (EXISTING CAFE AND OUTSIDE TERRACE TO REMAIN); IN ONE (1) ROOM ON 2ND FLOOR FOR FUNCTIONS; IN TWO (2) ROOMS ON 4TH FLOOR FOR FUNCTIONS; BASEMENT FOR STORAGE. (ALL PER PLANS ON FILE WITH BOARD) AND TO ADD A NEW WING OF THE MUSEUM (A/K/A 25 EVANS WAY),11/21/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7MW,CV7 Malt Wine,,1:00 AM,1:30 AM,1293,"THE ISABELLA STEWART GARDNER MUSEUM, INCORPORATED",,280.0,,  Fenway  ,Boston,MA,2115,"['42.338764', '-71.098844']",42.338764,-71.098844
158,LB-99656,ORINOCO LLC,ORINOCO RESTAURANT,1.) NO BAR 2.) ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS. CLOSING HOUR: 10:00 PM SUNDAY - WEDNESDAY 10:30 PM THURSDAY - SATURDAY PATIO CONDITION: A.) ALCOHOL TO BE SERVED ONLY WITH FOOD.,IN ONE ROOM ON THE GROUND FLOOR; KITCHEN AND STORAGE IN THE REAR AND TO INCLUDE A SEASONAL SIDEWALK CAFÉ FROM APRIL THROUGH OCTOBER FOR 22 PATRONS BETWEEN THE HOURS OF 11:00 A.M. - 10:00 P.M. (SUNDAY - WEDNESDAY) & 11:00 A.M. - 10:30 P.M. (THURSDAY - SATURDAY)  DPW LAND,11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7MWL,CV7 Malt Wine Liq.,,10:30 PM,11:00 PM,19,ORINOCO LLC,,477.0,,  Shawmut AV,Roxbury,MA,2118,"['42.338903', '-71.075949']",42.338903,-71.075949
159,LB-99299,"CROKE PARK, INC.",CROKE PARK,,Emergency exit; in two rooms on first floor; cellar for stock.,11/29/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,,2:00 AM,2:30 AM,67,"CROKE PARK, INC.",,268.0,,W Broadway ,South Boston,MA,2127,"['42.339275', '-71.051191']",42.339275,-71.051191
160,LB-99426,"DARRYLS'S CORNER BAR & KITCHEN, INC.",DARRYL'S BAR & KITCHEN,NONE,IN TWO ROOMS ON THE FIRST FLOOR; KITCHEN IN THE REAR  STORAGE IN THE BASEMENT.  Capacity breakdown: 96 seating; 12 standing.,11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,,2:00 AM,2:30 AM,108,"DARRYLS'S CORNER BAR & KITCHEN, INC.",,604.0,,  Columbus AV,Roxbury,MA,2118,"['42.33975', '-71.082398']",42.33975,-71.082398
161,LB-104346,"SHEA & CO., INC.",SHEA'S TAVERN,NONE,In one room and kitchen on the first floor; cellar for stock.,11/29/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,TAVAL,Tavern Licenses,,MIDNIGHT,12:30 AM,30,"SHEA & CO., INC.",,222.0,,W Broadway ,South Boston,MA,2127,"['42.339803', '-71.052729']",42.339803,-71.052729
162,LB-99242,"BOSTON ATHLETIC CLUB, INC.",BOSTON ATHELETIC CLUB,ALCOHLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH BRUNCH ON SUNDAYS: FROM - 11AM TO NOON. Request granted on 9/28/84,Unnumbered exits; in whole of said building.,11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,,1:00 AM,1:30 AM,101,"BOSTON ATHLETIC CLUB, INC.",,653.0,,  Summer ST,Boston,MA,2210,"['42.33981', '-71.04354']",42.33981,-71.04354
163,LB-99223,"TRAFFIC RESTAURANT, LLC",STELLA,PATIO HOURS: 11:00 A.M. - MIDNIGHT,IN THREE ROOMS ON THE FIRST FLOOR; KITCHEN IN THE REAR  STORAGE IN THE BASEMENT AND  TO INCLUDE AN OUTDOOR SEASONAL PATIO FROM APRIL THROUGH OCTOBER FOR 52 PATRONS.  DPW LAND,11/20/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,,2:00 AM,2:30 AM,198,"TRAFFIC RESTAURANT, LLC",,1525.0,,  Washington ST,Roxbury,MA,2118,"['42.339878', '-71.07261']",42.339878,-71.07261
164,LB-99645,Qdoba Restaurant Corporation,QDOBA MEXICAN GRILL,A.) NO BAR B.) ALCOHOL SERVICE WITH FOOD ONLY C.) PATIO TO BE STAFFED AT ALL TIMES,IN ONE ROOM ON THE FIRST FLOOR; KITCHEN AND STORAGE IN THE REAR AND STORAGE IN THE BASEMENT; WITH AN OUTDOOR SEASONAL PATIO FROM APRIL THROUGH OCTOBER FOR 32 PATRONS BETWEEN THE HOURS OF 11:00 A.M. - 11:00 P.M.   DPW LAND,11/29/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7MW,CV7 Malt Wine,,MIDNIGHT,12:30 AM,92,QDOBA RESTAURANT CORPORATION,,17.0,23.0,  Forsyth ST,Boston,MA,2115,"['42.340107', '-71.091002']",42.340107,-71.091002
165,LB-99557,N&N FOODS INCORPORATED,@CHILLI THAI BISTRO,1. MALT AND WINE BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS. 2. NO BAR.,1799 COMMONWEALTH AVENUE; IN ONE ROOM ON THE 1ST FLOOR WITH KITCHEN; STORAGE IN BASEMENT.  AND TO INCLUDE AN OUTDOOR SEASONAL PATIO ON PUBLIC PROPERTY FOR 10 PATRONS FROM MAY 1ST - NOVEMBER 1ST BETWEEN THE HOURS OF 11:00 AM - 11:00 PM,11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7MW,CV7 Malt Wine,,1:00 AM,1:30 AM,45,N&N FOODS INCORPORATED,(617)254-2254,1799.0,, Commonwealth Av,Brighton,MA,2135,"['42.340611', '-71.151579']",42.340611,-71.151579
166,LB-99146,"WALLY'S CAFÉ, INC.",WALLY'S CAFÉ,,427 Massachusetts Avenue rear entrance from alley to basement rear emergency exit first floor  one room first floor; kitchen and stockroom in basement.,11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,,2:00 AM,2:30 AM,99,"WALLY'S CAFÉ, INC.",,,427.0,  Massachusetts AV,Roxbury,MA,2118,"['42.340647', '-71.08232']",42.340647,-71.08232
167,LB-99549,"YAMATO, INC.",YAMATO JAPANESE CUISINE,1. MALT AND WINE BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS. 2. NO BAR.,In one room on first floor  kitchen in the rear; basement for storage.  Capacity breakdown: 89 seated  16 standing.,11/07/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7MW,CV7 Malt Wine,,11:00 PM,11:30 PM,99,"YAMATO, INC.",,111.0,117.0,  Chiswick RD,Brighton,MA,2135,"['42.340679', '-71.151644']",42.340679,-71.151644
168,LB-99194,"SOUTH END BERKELEY, LLC",GASLIGHT BRASSERIE duCOIN,1.) ALCOHOL AT TABLES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS. PATIO CONDITIONS: 1.) 2:00 A.M. CLOSING HOUR 2.) ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS. 3.) NO BAR.,IN ONE ROOM WITH KITCHEN AND STORAGE ON GROUND FLOOR; ENTRANCE FROM BUILDING LOBBY; ADDITIONAL EXIT TO HARRISON AVENUE  AND EMERGENCY EXIT TO WALTHAM STREET AND TO INCLUDE AN OUTDOOR SEASONAL PATIO FROM APRIL THROUGH OCTOBER FOR 62 PATRONS ON PRIVATE PROPERTY.  MANAGEMENT AGREEMENT APPROVED BETWEEN,11/15/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,,2:00 AM,2:30 AM,239,"SOUTH END BERKELEY, LLC",,560.0,,  Harrison AV,Roxbury,MA,2118,"['42.34081', '-71.06744']",42.34081,-71.06744
169,LB-99766,"BKW PARTNERS, INC.",CONOR LARKIN'S,26 Standing  97 Seated,IN ONE LARGE DINING ROOM  KITCHEN  AND TWO ROOMS  FOR STORAGE IN BASEMENT LEVEL.,11/19/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7MWL,CV7 Malt Wine Liq.,,1:00 AM,1:30 AM,123,"BKW PARTNERS, INC.",,329.0,,  Huntington AV,Boston,MA,2115,"['42.340923', '-71.08819']",42.340923,-71.08819
170,LB-139452,"South End Partners, Inc.",SRV RESTAURANT,NONE,On first floor with kitchen to rear. Bar area for approximately 16 patrons. Dining area for approximately 90 patrons. No separation between dining and bar area. Courtyard patio on private property with 40 patrons. Public sidewalk patio for 20 patrons. Both patios with an 11:00 p.m. Closing Hour.,03/12/2015 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7ALR,CV7 All Alc. Restrict.,,1:00 AM,1:30 AM,256,"South End Partners, Inc.",(617)308-8607,569.0,575.0,  Columbus AV,Roxbury,MA,2118,"['42.34099', '-71.08164']",42.34099,-71.08164
171,LB-99419,"EWalk SE1, LLC",THE ELEPHANT WALK,NONE,ON FIRST FLOOR  TWO (2) MAIN DINING ROOMS WITH BAR LOCATED IN DINING ROOM #2  KITCHEN AND PRIVATE LOUNGE IN REAR OF BUILDING;  STORAGE IN BASEMENT.  MAIN ENTRANCE AND EXIT LOCATED ON WASHINGTON STREET.  PREMISES CONSISTS OF 3200 TOTAL SQUARE FEET.,11/20/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,,1:00 AM,1:30 AM,80,"EWALK SE1, LLC",(617)536-2662,1415.0,,  Washington ST,Roxbury,MA,2118,"['42.341226', '-71.07053']",42.341226,-71.07053
172,LB-99191,"HENRY'S DELICATESSEN, LLC",THE GALLOWS,1.) CLOSING HOUR 1:00 A.M.  2.) ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS.,KITCHEN AND ONE DINING ROOM ON THE FIRST FLOOR  BASEMENT FOR PREPARATION AND STORAGE.  ENTRANCE AT 1395-1397 WASHINGTON STREET  WITH A REAR EXIT TO PASSAGEWAY LEADING TO UNION PARK STREET.,11/27/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,,1:00 AM,1:30 AM,90,"HENRY'S DELICATESSEN, LLC",,1395.0,1397.0,  Washington ST,Roxbury,MA,2118,"['42.34136', '-71.07015']",42.34136,-71.07015
173,LB-99575,THAILAND INTERNATIONAL CORPORATION,HOUSE OF SIAM,1. MALT AND WINE BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS. 2. NO BAR.,IN ONE ROOM ON THE FIRST FLOOR LEVEL  ONE ROOM ON THE LOWER LEVEL  KITCHEN IN THE REAR  STORAGE IN THE BASEMENT.  CAPACITY BREAKDOWN: UPPER LEVEL - 36; LOWER LEVEL - 18.,11/21/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7MW,CV7 Malt Wine,,11:00 PM,11:30 PM,54,THAILAND INTERNATIONAL CORPORATION,,542.0,,  Columbus AV,Roxbury,MA,2118,"['42.3414', '-71.08034']",42.3414,-71.08034
174,LB-99306,"UNO RESTAURANTS, LLC",UNO CHICAGO GRILL,,In one enlarged room on the first floor and kitchen; basement for stock; also  outdoor cafe with a capacity of 24.,11/21/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,,2:00 AM,2:30 AM,145,"UNO RESTAURANTS, LLC",,270.0,280.0,  Huntington AV,Boston,MA,2115,"['42.34151', '-71.086']",42.34151,-71.086
175,LB-99629,"MOOGY'S SANDWICH SHOP, INC.",MOOGY'S,A.) NO BAR  B.) ALCOHOL WITH FOOD ONLY.  CAPACITY: 65 SEATING  11 STANDING.,IN ONE ROOM ON THE FIRST FLOOR; KITCHEN AND STORAGE IN THE REAR  STORAGE IN THE BASEMENT.,11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7MW,CV7 Malt Wine,,11:00 PM,11:30 PM,76,"MOOGY'S SANDWICH SHOP, INC.",,154.0,,  Chestnut Hill AV,Brighton,MA,2135,"['42.341552', '-71.154278']",42.341552,-71.154278
176,LB-99667,"UC SOUTH END, LLC",THE UPPER CRUST,A.) ALCOHOL WITH FOOD ONLY B.) NO BAR PATIO CONDITIONS: 1.) ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS. 2.) TO BE STAFFED AT ALL TIMES (MIX OF PUBLIC AND PRIVATE LAND).,IN ONE ROOM ON THE FIRST FLOOR; KITCHEN IN THE REAR  STORAGE IN THE BASEMENT AND TO INCLUDE AN OUTDOOR SEASONAL PATIO FROM APRIL - OCTOBER FOR 20 PATRONS ON PRIVATE PROPERTY BETWEEN THE HOURS OF 11:30 A.M. - 11:00 P.M.,11/21/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7MW,CV7 Malt Wine,,11:30 PM,MIDNIGHT,41,"UC SOUTH END, LLC",,683.0,,  Tremont ST,Roxbury,MA,2118,"['42.34156', '-71.07662']",42.34156,-71.07662
177,LB-99432,"SMJ GROUP, LLC",,11:00 A.M. OPENING ON SUNDAYS,IN ONE ROOM ON STREET LEVEL  WITH KITCHEN  DINING ROOM AND THREE BATHROOMS; STORAGE IN THE BASEMENT.,11/21/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,,1:00 AM,1:30 AM,115,"SMJ GROUP, LLC",,1357.0,,  Washington ST,Roxbury,MA,2118,"['42.34165', '-71.06928']",42.34165,-71.06928
178,LB-99076,"GAINSBORO RESTAURANT, INC.",OUR HOUSE EAST,50% of tables to be used for all alcoholic beverages comsumption only in conjunction with meals.,52A GAINSBOROUGH STREET  BOSTON  MA  02115.  IN THREE ROOMS  EACH WITH A BAR SEATING 20  15 AND 13 RESPECTIVELY  WITH KITCHEN ON FIRST FLOOR;  CELLAR FOR STOCK.,11/22/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,,2:00 AM,2:30 AM,286,"GAINSBORO RESTAURANT, INC.",(617)536-4053,52.0,, Gainsborough St,Boston,MA,2115,"['42.34173', '-71.08722']",42.34173,-71.08722
179,LB-99528,TRUSTEES OF BOSTON UNIVERSITY,BOSTON UNIVERSITY THEATR,,In three floors; one room (lobby) on each floor; storage on the first floor.,11/19/2013 12:00:00 AM,12/31/2015 12:00:00 AM,Active,CV7MW,CV7 Malt Wine,,1:00 AM,1:30 AM,1051,Trustees of Boston University,(617)353-2990,264.0,,  Huntington AV,Boston,MA,2115,"['42.341835', '-71.085591']",42.341835,-71.085591
180,LB-98790,NORTHEASTERN UNIVERSITY,,,Exits in rear for stock and emergency  in seven rooms on first floor  seven rooms on second floor.,11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CLBAL,Clb. All Alc.,,1:00 AM,1:30 AM,82,NORTHEASTERN UNIVERSITY,,96.0,,  Fenway ,Boston,MA,2115,"['42.34185', '-71.09126']",42.34185,-71.09126
181,LB-99780,"LLOB ASSOCIATES, LLC",FIVE HORSES TAVERN,NONE,APPROXIMATELY 2 295 SQUARE FEET. DINING ROOM  BAR  AND BATHROOMS ON FIRST FLOOR.  KITCHEN  PREP  AND STORAGE ON GARDEN LEVEL.  PRIVATE SEASONAL PATIO AREA OUTSIDE OF FIRST FLOOR WITH 24 SEATS  WITH A MIDNIGHT CLOSING.,11/08/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7MWL,CV7 Malt Wine Liq.,,12:00 AM,12:30 AM,74,"LLOB ASSOCIATES, LLC",,533.0,535.0,  Columbus AV,Roxbury,MA,2118,"['42.34186', '-71.08059']",42.34186,-71.08059
182,LB-99822,MERENGUE CORP.,"VEJIGANTES, LLC",OPERATING HOURS OF OUTDOOR SEASONAL PATIO ARE 11:00 AM - 11:00 PM.,IN ONE ROOM ON THE FIRST FLOOR WITH KITCHEN IN THE REAR AND STORAGE ON THE FIRST FLOOR.  INCLUDES AN OUTDOOR SEASONAL PATIO ON PRIVATE PROPERTY FOR 14 PERSONS.,11/27/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7MWL,CV7 Malt Wine Liq.,,1:00 AM,1:30 AM,50,MERENGUE CORP.,,57.0,67.0,W Dedham St,Roxbury,MA,2118,"['42.341861', '-71.07242']",42.341861,-71.07242
183,LB-99092,"JAE'S CAFÉ & GRILL, INC.",SHUN'S KITCHEN,1) ALCOHOL TO BE SERVED WITH MEALS ONLY. 2) REAR PATIO HOURS ARE11:00 A.M. TO 3:00 P.M.,ONE ROOM WITH KITCHEN AND OUTDOOR CAFE AND TO INCLUDE BASEMENT AREA WITH SUSHI BAR AND TABLES  WHICH WAS APPROVED BY THE CITY OF BOSTON INSPECTIONAL SERVICES DEPARTMENT.  CAPACITY BREAKDOWN: BASEMENT - 43  1ST FL - 68   OUTDOOR - 32.,11/19/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,,1:00 AM,1:30 AM,111,"JAE'S CAFÉ & GRILL, INC.",,520.0,,  Columbus AV,Roxbury,MA,2118,"['42.34189', '-71.07978']",42.34189,-71.07978
184,LB-99523,THOUSAND CHEF FOODS CORP.,SYMPHONY SUSHI,MALT AND WINE BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS.,45 Gainsborough st; in one room on the first floor  kitchen in the rear; storage in the basement.,11/18/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7MW,CV7 Malt Wine,,11:30 PM,MIDNIGHT,60,THOUSAND CHEF FOODS CORP.,,45.0,,  Gainsborough ST,Boston,MA,2115,"['42.341989', '-71.087081']",42.341989,-71.087081
185,LB-99500,BUTTERY CORPORATION,SOUTH END BUTTERY,A.) ALCOHOL WITH FOOD ONLY  B.) PATIO CLOSING HOUR: 10:00 PM,ON 2 FLOORS; IN 2 ROOMS ON THE FIRST FLOOR FOR DINING; ON BASEMENT FLOOR; KITCHEN AND PREP AREA  STORAGE UTILITY ROOM AND OFFICE AND TO INCLUDE AN OUTDOOR PATIO FOR 12 PATRONS ON PRIVATE PROPERTY.  Capacity breakdown: 1st fl - 74  basement - 34.,11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7ALR,CV7 All Alc. Restrict.,,11:30 PM,MIDNIGHT,108,BUTTERY CORPORATION,,314.0,,  Shawmut AV,Roxbury,MA,2118,"['42.34209', '-71.07029']",42.34209,-71.07029
186,LB-99488,"SOUTH END JOINT VENTURE III (SEJV III), GENERAL PARTNERSHIP",CINQUECENTO,300 PERSONS TOTAL: PATIO SEATING: 60 PERSONS PRIVATE DINING SEATING: 51 PERSONS BAR STOOLS: 19 PERSONS BAR TABLES AND CHAIRS: 22 PERSONS DINING TABLES AND CHAIRS: 126 PERSONS STANDING: 22 PERSONS,IN TWO ROOMS INCLUDING FUNCTION ROOM ON GROUND FLOOR WITH KITCHEN AND BATHROOMS; ONE ROOM ON MEZZANINE LEVEL FOR DINING AND BAR AREA; AND A SEASONAL OUTDOOR PATIO FROM APRIL THROUGH OCTOBER ON PRIVATE PROPERTY FOR 30 PATRONS BETWEEN THE HOURS OF 11:00 A.M. - 2:00 A.M.( MANAGEMENT AGREEMENT APPROVED,11/22/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7ALR,CV7 All Alc. Restrict.,,2:00 AM,2:30 AM,300,South End Joint Venture III (SEJVIII) General Pat.,,490.0,,  Harrison AV,Roxbury,MA,2118,"['42.342141', '-71.065789']",42.342141,-71.065789
187,LB-99555,"SYMPHONY EXCHANGE, INC.",THE GINGER EXCHANGE,1.NO BAR.,IN ONE ROOM ON THE FIRST FLOOR  KITCHEN AND STORAGE IN THE REAR.,11/29/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7MWL,CV7 Malt Wine Liq.,,12:00 AM,12:30 AM,90,"SYMPHONY EXCHANGE, INC.",,250.0,,  Huntington AV,Boston,MA,2115,"['42.342201', '-71.08503']",42.342201,-71.08503
188,LB-99577,"PHO AND I, INC.",PHO AND I,MALT AND WINE BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS.,In one room on the first floor; kitchen in the rear  storage in the basement.,11/18/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7MW,CV7 Malt Wine,,11:00 PM,11:30 PM,87,"PHO AND I, INC.",,267.0,,  Huntington AV,Boston,MA,2115,"['42.342206', '-71.086199']",42.342206,-71.086199
189,LB-99567,THAITATION LLC,THAITATION,PATIO CONDITIONS: 1.) ALCOHOL TO BE SERVED WITH FOOD ONLY.  2.) PATIO TO BE STAFFED AT ALL TIMES.  3.) 11:00 P.M. CLOSING ON THE PATIO.,ONE ROOM USED FOR DINING AND KITCHEN ON FIRST FLOOR; STORAGE IN BASEMENT.  AND TO INCLUDE AN OUTDOOR SEASONAL PATIO FROM APRIL THROUGH OCTOBER FOR 8 PATRONS.,11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7MW,CV7 Malt Wine,,MIDNIGHT,12:30 AM,44,THAITATION LLC,,129.0,,  Jersey ST,Boston,MA,2215,"['42.342326', '-71.096951']",42.342326,-71.096951
190,LB-99767,"ZAI, LLC",YAKITORI ZAI,1.) WINES  MALT AND LIQUEURS TO BE SERVED ONLY IN CONJUNCTION WITH MEALS.  2.) NO BAR  3.) 11:30 P.M. CLOSING  PATIO CONDITIONS:  A.) ALCOHOL SERVICE WITH FOOD ONLY ON PATIO.  B.)  PATIO HOURS: 11:00 AM - 10:00 P.M.,IN ONE ROOM ON THE FIRST FLOOR WITH KITCHEN IN THE REAR STORAGE IN THE BASEMENT AND TO INCLUDE AN OUTDOOR SEASONAL PATIO ON UNION PARK IN FRONT OF LICENSED PREMISES ON PRIVATE PROPERTY FROM MAY THROUGH OCTOBER FOR 12 PATRONS FROM 11:00 A.M. - 10:00 P.M.  INSIDE SEATING: 34 PATRONS  OUTSIDE SEATING:,11/27/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7MWL,CV7 Malt Wine Liq.,,11:30 PM,MIDNIGHT,34,"ZAI, LLC",,315.0,,  Shawmut AV,Roxbury,MA,2118,"['42.34234', '-71.070529']",42.34234,-71.070529
191,LB-99071,"STEPHANIE'S IN SOUTHIE, LLC",STEPHI'S IN SOUTHIE,HOURS OF OPERATION MONDAY- FRIDAY 11:30-2:00 A.M. SATURDAY 10:00 A.M.-2:00 A.M. SUNDAY 10:OO A.M. -1:00 A.M.,IN ONE ROOM  ON FIRST FLOOR  MAIN ENTRANCE/EXIT ON WEST BROADWAY.  KITCHEN AND STORAGE IN REAR.,11/27/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Active,CV7AL,CV7 All Alc.,,2:00 AM,2:30 AM,153,"STEPHANIE'S IN SOUTHIE, LLC",,11.0,,W Broadway ,South Boston,MA,2127,"['42.34248', '-71.05686']",42.34248,-71.05686
